Team,Seed,OFF. Eff.,DEF. Eff.,Efficiency Margin,% of Points from 2,% of Points from 3,% of Points from FT,True Shooting %,3P %,3P Rate,eFG,FT %,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO %,Opp. 3PT %,Opp. 3P Rate,Block %,Def. eFG %,Steals per Possession,Opp. Asst./Poss.,Opp. TO/poss.,Opp. FTA/FGA,Close Game Win %,Win%,Strength of Schedule 
Liberty,12,1.094,0.953,0.141,0.440,0.414,0.146,1.183,0.395,0.477,0.584,0.652,0.309,68.000,0.924,-2.000,0.632,0.176,0.741,0.150,0.287,0.345,0.052,0.460,0.090,0.140,0.167,0.263,0.583,0.823,193
Akron,13,1.126,1.017,0.109,0.465,0.379,0.156,1.154,0.366,0.454,0.554,0.751,0.268,74.600,0.972,1.500,0.597,0.316,0.732,0.162,0.324,0.380,0.061,0.495,0.100,0.164,0.168,0.337,0.714,0.823,273
High Point,13,1.184,1.022,0.162,0.492,0.307,0.201,1.198,0.366,0.390,0.564,0.762,0.376,69.000,0.986,1.000,0.621,0.326,0.718,0.150,0.329,0.356,0.046,0.491,0.085,0.154,0.160,0.363,0.600,0.852,302
Yale,13,1.148,1.000,0.148,0.545,0.280,0.176,1.153,0.385,0.320,0.548,0.734,0.320,70.500,0.987,2.200,0.578,0.306,0.765,0.140,0.334,0.478,0.060,0.488,0.080,0.199,0.157,0.287,0.625,0.758,158
Grand Canyon,13,1.054,0.935,0.119,0.522,0.238,0.240,1.106,0.316,0.336,0.513,0.733,0.440,74.500,0.947,2.100,0.579,0.305,0.734,0.180,0.323,0.341,0.086,0.470,0.122,0.159,0.199,0.322,0.714,0.787,243
Montana,14,1.089,1.078,0.011,0.519,0.289,0.192,1.184,0.365,0.368,0.564,0.746,0.362,69.300,0.922,-2.900,0.623,0.197,0.730,0.158,0.336,0.351,0.052,0.522,0.088,0.179,0.152,0.319,0.800,0.735,237
UNCW,14,1.120,1.020,0.010,0.516,0.270,0.213,1.124,0.330,0.362,0.522,0.755,0.378,68.600,0.996,1.700,0.593,0.346,0.744,0.156,0.340,0.435,0.059,0.509,0.092,0.179,0.168,0.303,0.625,0.794,275
Lipscomb,14,1.130,0.986,0.144,0.435,0.383,0.182,1.185,0.367,0.474,0.559,0.796,0.314,68.700,0.945,-1.600,0.631,0.212,0.748,0.142,0.312,0.370,0.047,0.487,0.097,0.152,0.156,0.223,0.333,0.735,319
Troy,14,1.055,0.961,0.094,0.466,0.322,0.212,1.075,0.303,0.448,0.501,0.724,0.378,68.700,0.979,2.400,0.599,0.377,0.707,0.194,0.328,0.383,0.077,0.472,0.133,0.179,0.191,0.293,0.375,0.696,203
Omaha,15,1.091,1.080,0.011,0.482,0.318,0.200,1.123,0.356,0.391,0.526,0.730,0.360,70.600,0.973,1.400,0.570,0.283,0.774,0.152,0.352,0.450,0.039,0.532,0.820,0.192,0.145,0.372,0.667,0.647,223
Wofford,15,1.098,1.065,0.033,0.447,0.392,0.161,1.108,0.348,0.477,0.532,0.667,0.306,66.500,0.991,1.600,0.601,0.336,0.756,0.165,0.345,0.460,0.047,0.519,0.820,0.180,0.144,0.364,0.300,0.558,162
Robert Morris,15,1.073,0.999,0.074,0.469,0.295,0.209,1.097,0.346,0.367,0.512,0.718,0.376,71.700,0.977,3.700,0.560,0.347,0.745,0.178,0.340,0.356,0.077,0.507,0.090,0.189,0.183,0.303,0.667,0.764,280
Bryant,15,1.059,0.994,0.065,0.545,0.280,0.174,1.074,0.330,0.348,0.507,0.716,0.299,75.400,0.995,2.800,0.544,0.328,0.743,0.159,0.325,0.361,0.094,0.478,0.087,0.154,0.159,0.300,0.364,0.676,276
Alabama State,16,1.009,1.020,-0.011,0.457,0.366,0.177,1.002,0.326,0.427,0.470,0.692,0.291,71.200,1.002,4.000,0.502,0.256,0.713,0.128,0.337,0.402,0.050,0.507,0.109,0.178,0.182,0.389,0.750,0.571,318
Norfolk State,16,1.075,1.033,0.042,0.592,0.191,0.217,1.128,0.308,0.276,0.522,0.753,0.384,69.500,0.942,-2.300,0.602,0.298,0.664,0.178,0.338,0.431,0.051,0.500,0.093,0.210,0.182,0.355,0.625,0.705,301
Mt. Saint Mary's,16,0.991,1.012,-0.021,0.477,0.343,0.180,1.084,0.345,0.411,0.509,0.733,0.305,69.900,0.911,-4.700,0.557,0.281,0.735,0.210,0.318,0.452,0.043,0.487,0.084,0.189,0.153,0.260,0.778,0.657,294
SIU Edwardsville,16,1.000,0.981,0.019,0.509,0.304,0.187,1.031,0.331,0.366,0.485,0.673,0.331,69.600,0.968,0.500,0.522,0.284,0.732,0.167,0.331,0.387,0.072,0.476,0.089,0.165,0.165,0.331,0.444,0.666,359
